time	V(n003)	V(n004)
1.259741316328180e-003	-4.969034e+000	9.971883e-001
1.279272566328180e-003	-4.903161e+000	9.822084e-001
1.298803816328180e-003	-4.763116e+000	9.524551e-001
1.318335066328180e-003	-4.551041e+000	9.083760e-001
1.337866316328180e-003	-4.270157e+000	8.506342e-001
1.357397566328180e-003	-3.924718e+000	7.800980e-001
1.376928816328180e-003	-3.519944e+000	6.978283e-001
1.396460066328180e-003	-3.061948e+000	6.050627e-001
1.415991316328180e-003	-2.557638e+000	5.031964e-001
1.435522566328180e-003	-2.014619e+000	3.937615e-001
1.455053816328180e-003	-1.441075e+000	2.784042e-001
1.474585066328180e-003	-8.456472e-001	1.588593e-001
1.494116316328180e-003	-2.373050e-001	3.692508e-002
1.513647566328180e-003	3.747895e-001	-8.556455e-002
1.533178816328180e-003	9.814189e-001	-2.067672e-001
1.552710066328180e-003	1.573449e+000	-3.248599e-001
1.572241316328180e-003	2.141967e+000	-4.380664e-001
1.591772566328180e-003	2.678413e+000	-5.446839e-001
1.611303816328180e-003	3.174711e+000	-6.431090e-001
1.630835066328180e-003	3.623391e+000	-7.318611e-001
1.650366316328180e-003	4.017697e+000	-8.096052e-001
1.669897566328180e-003	4.351694e+000	-8.751721e-001
1.689428816328180e-003	4.620353e+000	-9.275757e-001
1.708960066328180e-003	4.819630e+000	-9.660277e-001
1.728491316328180e-003	4.946522e+000	-9.899497e-001
1.748022566328180e-003	4.999119e+000	-9.989820e-001
1.767553816328180e-003	4.976626e+000	-9.929886e-001
1.787085066328180e-003	4.879380e+000	-9.720597e-001
1.806616316328180e-003	4.708840e+000	-9.365102e-001
1.826147566328180e-003	4.467570e+000	-8.868747e-001
1.845678816328180e-003	4.159197e+000	-8.238997e-001
1.865210066328180e-003	3.788358e+000	-7.485325e-001
1.884741316328180e-003	3.360629e+000	-6.619068e-001
1.904272566328180e-003	2.882442e+000	-5.653253e-001
1.923803816328180e-003	2.360988e+000	-4.602408e-001
1.943335066328180e-003	1.804109e+000	-3.482339e-001
1.962866316328180e-003	1.220180e+000	-2.309892e-001
1.982397566328180e-003	6.179826e-001	-1.102702e-001
2.001928816328180e-003	6.574016e-003	1.210741e-002
2.021460066328179e-003	-6.048508e-001	1.343029e-001
2.040991316328179e-003	-1.207096e+000	2.544783e-001
2.060522566328178e-003	-1.791104e+000	3.708261e-001
2.080053816328178e-003	-2.348091e+000	4.815964e-001
2.099585066328178e-003	-2.869680e+000	5.851229e-001
2.119116316328177e-003	-3.348026e+000	6.798488e-001
2.138647566328177e-003	-3.775934e+000	7.643490e-001
2.158178816328176e-003	-4.146969e+000	8.373528e-001
2.177710066328176e-003	-4.455549e+000	8.977619e-001
2.197241316328175e-003	-4.697034e+000	9.446679e-001
2.216772566328175e-003	-4.867792e+000	9.773653e-001
2.236303816328175e-003	-4.965254e+000	9.953620e-001
2.255835066328174e-003	-4.987955e+000	9.983877e-001
2.275366316328174e-003	-4.935553e+000	9.863967e-001
2.294897566328173e-003	-4.808837e+000	9.595693e-001
2.314428816328173e-003	-4.609714e+000	9.183091e-001
2.333960066328173e-003	-4.341177e+000	8.632367e-001
2.353491316328172e-003	-4.007268e+000	7.951804e-001
2.373022566328172e-003	-3.613008e+000	7.151639e-001
2.392553816328171e-003	-3.164327e+000	6.243907e-001
2.412085066328171e-003	-2.667974e+000	5.242260e-001
2.431616316328170e-003	-2.131415e+000	4.161764e-001
2.451147566328170e-003	-1.562719e+000	3.018672e-001
2.470678816328170e-003	-9.704413e-001	1.830177e-001
2.490210066328169e-003	-3.634892e-001	6.141534e-002
2.509741316328169e-003	2.490083e-001	-6.111073e-002
2.529272566328168e-003	8.578386e-001	-1.827176e-001
2.548803816328168e-003	1.453844e+000	-3.015763e-001
2.568335066328168e-003	2.028061e+000	-4.158990e-001
2.587866316328167e-003	2.571852e+000	-5.239662e-001
2.607397566328167e-003	3.077038e+000	-6.241524e-001
2.626928816328166e-003	3.536020e+000	-7.149508e-001
2.646460066328166e-003	3.941895e+000	-7.949957e-001
2.665991316328165e-003	4.288557e+000	-8.630831e-001
2.685522566328165e-003	4.570792e+000	-9.181889e-001
2.705053816328165e-003	4.784356e+000	-9.594843e-001
2.724585066328164e-003	4.926036e+000	-9.863482e-001
2.744116316328164e-003	4.993701e+000	-9.983765e-001
2.753881941328164e-003	4.999415e+000	-9.987619e-001
2.773413191328163e-003	4.954502e+000	-9.882681e-001
2.792944441328163e-003	4.835145e+000	-9.629099e-001
2.812475691328162e-003	4.643142e+000	-9.230686e-001
2.832006941328162e-003	4.381378e+000	-8.693435e-001
2.851538191328162e-003	4.053793e+000	-8.025427e-001
2.871069441328161e-003	3.665312e+000	-7.236708e-001
2.890600691328161e-003	3.221780e+000	-6.339143e-001
2.910131941328160e-003	2.729867e+000	-5.346231e-001
2.929663191328160e-003	2.196973e+000	-4.272907e-001
2.949194441328159e-003	1.631112e+000	-3.135315e-001
2.968725691328159e-003	1.040794e+000	-1.950564e-001
2.988256941328159e-003	4.348999e-001	-7.364752e-002
3.007788191328158e-003	-1.774585e-001	4.886910e-002
3.027319441328158e-003	-7.870707e-001	1.706507e-001
3.046850691328157e-003	-1.384767e+000	2.898655e-001
3.066381941328157e-003	-1.961559e+000	4.047205e-001
3.085913191328157e-003	-2.508770e+000	5.134881e-001
3.105444441328156e-003	-3.018169e+000	6.145324e-001
3.124975691328156e-003	-3.482095e+000	7.063335e-001
3.144506941328155e-003	-3.893570e+000	7.875108e-001
3.164038191328155e-003	-4.246404e+000	8.568431e-001
3.183569441328154e-003	-4.535290e+000	9.132877e-001
3.203100691328154e-003	-4.755883e+000	9.559956e-001
3.222631941328154e-003	-4.904866e+000	9.843245e-001
3.242163191328153e-003	-4.979997e+000	9.978482e-001
3.261694441328153e-003	-4.980146e+000	9.963633e-001
3.281225691328152e-003	-4.905311e+000	9.798921e-001
3.300756941328152e-003	-4.756619e+000	9.486825e-001
3.320288191328152e-003	-4.536305e+000	9.032039e-001
3.339819441328151e-003	-4.247683e+000	8.441402e-001
3.359350691328151e-003	-3.895096e+000	7.723799e-001
3.378881941328150e-003	-3.483845e+000	6.890022e-001
3.398413191328150e-003	-3.020117e+000	5.952613e-001
3.417944441328149e-003	-2.510887e+000	4.925672e-001
3.437475691328149e-003	-1.963813e+000	3.824643e-001
3.457006941328149e-003	-1.387125e+000	2.666089e-001
3.476538191328148e-003	-7.894949e-001	1.467433e-001
